Number,Name,CityTown,StateTerritory,YearEstablished
156,Jaisalmer War Museum,Jaisalmer,Rajasthan,
157,Vintage and Classic Car Museum,Udaipur,Rajasthan,2000
158,Rajiv Gandhi Regional Museum of Natural History,Sawai Madhopur,Rajasthan,2007
159,Sardar Government Museum,Jodhpur,Rajasthan,1936
160,Namgyal Institute of Tibetology,Gangtok,Sikkim,
161,Chennai Railway Museum,Chennai,Tamil Nadu,2002
162,"Government Museum, Chennai",Chennai,Tamil Nadu,1851
163,Vivekanandar Illam,Chennai,Tamil Nadu,
164,Gandhi Memorial Museum,Madurai,Tamil Nadu,
165,Gass Forest Museum,Coimbatore,Tamil Nadu,
166,Saraswathi Mahal Library,Thanjavur,Tamil Nadu,
167,Government Museum,Cuddalore,Tamil Nadu,
168,"Government Museum, Karur",Karur,Tamil Nadu,
169,"Government Museum, Pudukkottai",Pudukkottai,Tamil Nadu,
170,"Government Museum, Tiruchirappalli",Tiruchirappalli,Tamil Nadu,
171,Railway Heritage Centre,Tiruchirappalli,Tamil Nadu,
172,Mahakavi Bharathi Memorial Library,Erode,Tamil Nadu,
173,Alampur Museum,Alampur,Telangana,
174,Birla Science Museum,Hyderabad,Telangana,
175,City Museum,Hyderabad,Telangana,
176,Jagdish and Kamla Mittal Museum of Indian Art,Hyderabad,Telangana,1976
177,Nizam Museum,Hyderabad,Telangana,2000
178,Khazana Building Museum,Hyderabad,Telangana,
179,Salar Jung Museum,Hyderabad,Telangana,1951
180,Telangana State Archaeology Museum,Hyderabad,Telangana,1930
181,Warangal Museum,Warangal,Telangana,
182,Tripura State Museum,Agartala,Tripura,1970
183,"State Museum, Lucknow",Lucknow,Uttar Pradesh,1863
184,Allahabad Museum,Allahabad,Uttar Pradesh,1931
185,Kanpur Sangrahalaya,Kanpur,Uttar Pradesh,1999
186,"Government Museum, Mathura",Mathura,Uttar Pradesh,1874
187,Sarnath Museum,Sarnath,Uttar Pradesh,1910
188,Rashtriya Dalit Prerna Sthal and Green Garden,Noida,Uttar Pradesh,
189,Ibn Sina Academy of Medieval Medicine and Sciences,Aligarh,Uttar Pradesh,
190,Swaraj Bhavan (old Anand Bhavan),Allahabad,Uttar Pradesh,
191,Indian Museum,Kolkata,West Bengal,1814
192,Victoria Memorial,Kolkata,West Bengal,1921
193,Asutosh Museum of Indian Art,Kolkata,West Bengal,
194,State Archaeological Gallery,Kolkata,West Bengal,1962
195,Sabarna Sangrahashala,Kolkata,West Bengal,
196,Kolkata Museum of Modern Art,Kolkata,West Bengal,
197,Gurusaday Museum,Kolkata,West Bengal,1961
198,Marble Palace,Kolkata,West Bengal,
199,Ramkrishna Mission Institute of Culture,Kolkata,West Bengal,
200,Birla Industrial and Technological Museum,Kolkata,West Bengal,1959
201,Metcalfe Hall,Kolkata,West Bengal,
202,Kolkata Town Hall,Kolkata,West Bengal,
203,Fort William,Kolkata,West Bengal,
204,Jorasanko Thakur Bari,Kolkata,West Bengal,
205,Academy of Fine Arts,Kolkata,West Bengal,
206,Kolkata Rail Museum,Kolkata,West Bengal,
207,Currency Building,Kolkata,West Bengal,
208,Mother's Wax Museum,Kolkata,West Bengal,
209,Asutosh Museum of Indian Art,Kolkata,West Bengal,
210,Fanattic Sports Museum,Kolkata,West Bengal,
211,Malda Museum,Malda,West Bengal,
212,Rabindra Museum,Mungpoo,West Bengal,
213,Hazarduari Palace Museum,Murshidabad,West Bengal,
