Andhra Pradesh
Gass Forest Museum	Coimbatore	Tamil Nadu	
Saraswathi Mahal Library	Thanjavur	Tamil Nadu	
Government Museum	Cuddalore	Tamil Nadu	
Government Museum, Karur	Karur	Tamil Nadu	
Government Museum, Pudukkottai	Pudukkottai	Tamil Nadu	
Government Museum, Tiruchirappalli	Tiruchirappalli	Tamil Nadu	
Railway Heritage Centre	Tiruchirappalli	Tamil Nadu	
Mahakavi Bharathi Memorial Library	Erode	Tamil Nadu	
Telangana


Name	City/Town	State/Territory	Year Established
Alampur Museum	Alampur	Telangana	
Birla Science Museum	Hyderabad	Telangana	
City Museum	Hyderabad	Telangana	
Jagdish and Kamla Mittal Museum of Indian Art	Hyderabad	Telangana	1976
Nizam Museum	Hyderabad	Telangana	2000
Khazana Building Museum	Hyderabad	Telangana	
Salar Jung Museum	Hyderabad	Telangana	1951
Telangana State Archaeology Museum	Hyderabad	Telangana	1930
Warangal Museum	Warangal	Telangana	
Tripura

Name	City/Town	State/Territory	Year Established
Tripura State Museum	Agartala	Tripura	1970
Uttar Pradesh
Name	City/Town	State/Territory	Year Established
State Museum, Lucknow	Lucknow	Uttar Pradesh	1863
Allahabad Museum	Allahabad	Uttar Pradesh	1931
Kanpur Sangrahalaya	Kanpur	Uttar Pradesh	1999
Government Museum, Mathura	Mathura	Uttar Pradesh	1874
Sarnath Museum	Sarnath	Uttar Pradesh	1910
Rashtriya Dalit Prerna Sthal and Green Garden	Noida	Uttar Pradesh	
Ibn Sina Academy of Medieval Medicine and Sciences	Aligarh	Uttar Pradesh	
Swaraj Bhavan (old Anand Bhavan)	Allahabad	Uttar Pradesh	
West Bengal


Name	City/Town	State/Territory	Year Established
Indian Museum	Kolkata	West Bengal	1814
Victoria Memorial	Kolkata	West Bengal	1921
Asutosh Museum of Indian Art	Kolkata	West Bengal	
State Archaeological Gallery	Kolkata	West Bengal	1962
Sabarna Sangrahashala	Kolkata	West Bengal	
Kolkata Museum of Modern Art	Kolkata	West Bengal	
Gurusaday Museum	Kolkata	West Bengal	1961
Marble Palace	Kolkata	West Bengal	
Metcalfe Hall	Kolkata	West Bengal	
Kolkata Town Hall	Kolkata	West Bengal	
Fort William	Kolkata	West Bengal	
Jorasanko Thakur Bari	Kolkata	West Bengal	
Academy of Fine Arts	Kolkata	West Bengal	
Kolkata Rail Museum	Kolkata	West Bengal	
Currency Building	Kolkata	West Bengal	
Mother's Wax Museum	Kolkata	West Bengal	
Asutosh Museum of Indian Art	Kolkata	West Bengal	
Fanattic Sports Museum	Kolkata	West Bengal	
Malda Museum	Malda	West Bengal	
Rabindra Museum	Mungpoo	West Bengal	
Hazarduari Palace Museum	Murshidabad	West Bengal	
